angle, intensity, difference
0,1290,0
21,1292,2
24,1276,-16
27,1269,-7
30,1265,-4
34,1262,-3
38,1261,-1
41,1288,27
44,1314,26
47,1336,22
50,1359,23
52,1374,15
55,1377,3
57,1358,-19
61,1322,-36
63,1281,-41
66,1243,-38
68,1207,-36
69,1189,-18
72,1186,-3
74,1184,-2
76,1183,-1
79,1186,3
81,1188,2
84,1190,2
87,1194,4
89,1202,8
92,1213,11
95,1228,15
98,1245,17
101,1263,18
104,1269,6
107,1217,-52
109,1090,-127
123,968,-122
126,948,-20
129,939,-9
130,983,44
133,1092,109
136,1177,85
139,1166,-11
141,1163,-3
144,1180,17
146,1199,19
148,1219,20
152,1231,12
153,1235,4
156,1229,-6
158,1223,-6
160,1223,0
163,1225,2
166,1225,0
169,1227,2
171,1228,1
174,1218,-10
177,1213,-5
178,1213,0
181,1209,-4
184,1160,-49
187,1046,-114
202,982,-64
205,1001,19
208,1025,24
211,1094,69
213,1229,135
215,1298,69
217,1298,0
220,1298,0
223,1301,3
225,1295,-6
228,1301,6
230,1309,8
232,1307,-2
234,1297,-10
237,1279,-18
240,1251,-28
242,1214,-37
245,1123,-91
248,999,-124
262,958,-41
265,957,-1
268,974,17
271,1061,87
272,1177,116
273,1219,42
276,1226,7
277,1227,1
280,1227,0
282,1218,-9
283,1214,-4
285,1210,-4
287,1210,0
288,1214,4
291,1221,7
292,1228,7
295,1244,16
297,1255,11
299,1258,3
300,1256,-2
302,1250,-6
305,1244,-6
308,1234,-10
311,1226,-8
314,1230,4
316,1235,5
317,1240,5
319,1246,6
321,1251,5
323,1252,1
325,1251,-1
326,1241,-10
328,1234,-7
330,1231,-3
332,1230,-1
334,1233,3
336,1240,7
338,1245,5
340,1255,10
342,1259,4
344,1256,-3
346,1249,-7
348,1231,-18
350,1139,-92
352,1006,-133
360,895,-111
